Array riordinato: 
Elemento 851: 5.69043
Elemento 852: 5.69096
Elemento 853: 5.69215
Elemento 854: 5.69284
Elemento 855: 5.69317
Elemento 856: 5.69339
Elemento 857: 5.69397
Elemento 858: 5.69398
Elemento 859: 5.69418
Elemento 860: 5.69497
Elemento 861: 5.69541
Elemento 862: 5.69558
Elemento 863: 5.69592
Elemento 864: 5.69709
Elemento 865: 5.69728
Elemento 866: 5.6995
Elemento 867: 5.70023
Elemento 868: 5.70025
Elemento 869: 5.70051
Elemento 870: 5.70065
Elemento 871: 5.70183
Elemento 872: 5.70202
Elemento 873: 5.70227
Elemento 874: 5.70233
Elemento 875: 5.70278
Elemento 876: 5.70424
Elemento 877: 5.70527
Elemento 878: 5.70565
Elemento 879: 5.70689
Elemento 880: 5.70705
Elemento 881: 5.70955
Elemento 882: 5.71012
Elemento 883: 5.71079
Elemento 884: 5.7118
Elemento 885: 5.71289
Elemento 886: 5.71303
Elemento 887: 5.71307
Elemento 888: 5.71314
Elemento 889: 5.71429
Elemento 890: 5.71446
Elemento 891: 5.71485
Elemento 892: 5.71514
Elemento 893: 5.71648
Elemento 894: 5.71761
Elemento 895: 5.71781
Elemento 896: 5.71821
Elemento 897: 5.71844
Elemento 898: 5.71898
Elemento 899: 5.71914
Elemento 900: 5.7192
Elemento 901: 5.71982
Elemento 902: 5.72014
Elemento 903: 5.7213
Elemento 904: 5.72195
Elemento 905: 5.72278
Elemento 906: 5.72308
Elemento 907: 5.72326
Elemento 908: 5.72334
Elemento 909: 5.72396
Elemento 910: 5.72525
Elemento 911: 5.72527
Elemento 912: 5.72646
Elemento 913: 5.73025
Elemento 914: 5.73098
Elemento 915: 5.73124
Elemento 916: 5.73162
Elemento 917: 5.73299
Elemento 918: 5.73306
Elemento 919: 5.73332
Elemento 920: 5.7335
Elemento 921: 5.73391
Elemento 922: 5.73444
Elemento 923: 5.73453
Elemento 924: 5.73647
Elemento 925: 5.73676
Elemento 926: 5.73727
Elemento 927: 5.73735
Elemento 928: 5.73851
Elemento 929: 5.73945
Elemento 930: 5.74059
Elemento 931: 5.74122
Elemento 932: 5.74135
Elemento 933: 5.7424
Elemento 934: 5.74251
Elemento 935: 5.74251
Elemento 936: 5.74368
Elemento 937: 5.74444
Elemento 938: 5.74558
Elemento 939: 5.74625
Elemento 940: 5.7463
Elemento 941: 5.74659
Elemento 942: 5.74973
Elemento 943: 5.75189
Elemento 944: 5.75212
Elemento 945: 5.75249
Elemento 946: 5.75293
Elemento 947: 5.75307
Elemento 948: 5.75417
Elemento 949: 5.75439
Elemento 950: 5.75638
Elemento 951: 5.75645
Elemento 952: 5.75651
Elemento 953: 5.75748
Elemento 954: 5.75869
Elemento 955: 5.75901
Elemento 956: 5.75938
Elemento 957: 5.7601
Elemento 958: 5.76107
Elemento 959: 5.76112
Elemento 960: 5.76194
Elemento 961: 5.76218
Elemento 962: 5.76364
Elemento 963: 5.76407
Elemento 964: 5.76425
Elemento 965: 5.76503
Elemento 966: 5.76518
Elemento 967: 5.7652
Elemento 968: 5.76541
Elemento 969: 5.76627
Elemento 970: 5.76644
Elemento 971: 5.76688
Elemento 972: 5.76689
Elemento 973: 5.76725
Elemento 974: 5.7677
Elemento 975: 5.76866
Elemento 976: 5.76881
Elemento 977: 5.76952
Elemento 978: 5.77018
Elemento 979: 5.77134
Elemento 980: 5.77221
Elemento 981: 5.7729
Elemento 982: 5.7732
Elemento 983: 5.77325
Elemento 984: 5.77348
Elemento 985: 5.77616
Elemento 986: 5.77654
Elemento 987: 5.77873
Elemento 988: 5.7789
Elemento 989: 5.77915
Elemento 990: 5.78004
Elemento 991: 5.78037
Elemento 992: 5.78105
Elemento 993: 5.7812
Elemento 994: 5.78158
Elemento 995: 5.78167
Elemento 996: 5.78195
Elemento 997: 5.78209
Elemento 998: 5.7821
Elemento 999: 5.7823
Elemento 1000: 5.78236
Elemento 1001: 5.78457
Elemento 1002: 5.78495
Elemento 1003: 5.78497
Elemento 1004: 5.78498
Elemento 1005: 5.78501
Elemento 1006: 5.78511
Elemento 1007: 5.78526
Elemento 1008: 5.78573
Elemento 1009: 5.7858
Elemento 1010: 5.78596
Elemento 1011: 5.78625
Elemento 1012: 5.78657
Elemento 1013: 5.78663
Elemento 1014: 5.78686
Elemento 1015: 5.78691
Elemento 1016: 5.78704
Elemento 1017: 5.78752
Elemento 1018: 5.78758
Elemento 1019: 5.78825
Elemento 1020: 5.78871
Elemento 1021: 5.78898
Elemento 1022: 5.79009
Elemento 1023: 5.79025
Elemento 1024: 5.79126
Elemento 1025: 5.79189
Elemento 1026: 5.79203
Elemento 1027: 5.79266
Elemento 1028: 5.79269
Elemento 1029: 5.7929
Elemento 1030: 5.79376
Elemento 1031: 5.79418
Elemento 1032: 5.79463
Elemento 1033: 5.79525
Elemento 1034: 5.79539
Elemento 1035: 5.7966
Elemento 1036: 5.79664
Elemento 1037: 5.79703
Elemento 1038: 5.7971
Elemento 1039: 5.79755
Elemento 1040: 5.79788
Elemento 1041: 5.79824
Elemento 1042: 5.79866
Elemento 1043: 5.79939
Elemento 1044: 5.80011
Elemento 1045: 5.80172
Elemento 1046: 5.80314
Elemento 1047: 5.80411
Elemento 1048: 5.80508
Elemento 1049: 5.80542
Elemento 1050: 5.80581
Elemento 1051: 5.80586
Elemento 1052: 5.80695
Elemento 1053: 5.80712
Elemento 1054: 5.80738
Elemento 1055: 5.8075
Elemento 1056: 5.80761
Elemento 1057: 5.80764
Elemento 1058: 5.80777
Elemento 1059: 5.80782
Elemento 1060: 5.80789
Elemento 1061: 5.80807
Elemento 1062: 5.80915
Elemento 1063: 5.81005
Elemento 1064: 5.81145
Elemento 1065: 5.81358
Elemento 1066: 5.81429
Elemento 1067: 5.81473
Elemento 1068: 5.8148
Elemento 1069: 5.81514
Elemento 1070: 5.81594
Elemento 1071: 5.81767
